symbol,action,date,price,shares,pnl_pct,reason,entry_date,entry_price
300380,SELL,20241023,51.37,400,31.17977528089888,TRAILING_STOP,20241021,39.16
002693,SELL,20241023,28.12,500,-0.9859154929577381,TRAILING_STOP,20241021,28.4
301297,BUY,20241028,70.25,200,0.0,REBALANCE,20241028,70.25
300046,BUY,20241028,47.2,300,0.0,REBALANCE,20241028,47.2
300085,BUY,20241028,40.0,400,0.0,REBALANCE,20241028,40.0
000158,BUY,20241028,27.8,600,0.0,REBALANCE,20241028,27.8
603038,BUY,20241028,25.67,600,0.0,REBALANCE,20241028,25.67
002693,BUY,20241028,36.29,400,0.0,REBALANCE,20241028,36.29
300077,BUY,20241028,31.3,500,0.0,REBALANCE,20241028,31.3
300803,BUY,20241028,92.1,100,0.0,REBALANCE,20241028,92.1
603106,BUY,20241028,13.1,1300,0.0,REBALANCE,20241028,13.1
300063,BUY,20241028,10.58,1600,0.0,REBALANCE,20241028,10.58
002094,BUY,20241028,6.94,2400,0.0,REBALANCE,20241028,6.94
300339,BUY,20241028,62.66,200,0.0,REBALANCE,20241028,62.66
600520,BUY,20241028,52.6,300,0.0,REBALANCE,20241028,52.6
002628,BUY,20241028,5.31,3200,0.0,REBALANCE,20241028,5.31
300063,SELL,20241028,11.38,1600,7.561436672967871,TRAILING_STOP,20241028,10.58
301297,SELL,20241029,66.62,200,-5.167259786476862,TRAILING_STOP,20241028,70.25
300046,SELL,20241029,45.1,300,-4.449152542372884,TRAILING_STOP,20241028,47.2
300085,SELL,20241029,51.4,400,28.499999999999996,TRAILING_STOP,20241028,40.0
603038,SELL,20241029,27.0,600,5.181145305804434,TRAILING_STOP,20241028,25.67
002693,SELL,20241029,38.37,400,5.731606503168912,TRAILING_STOP,20241028,36.29
300077,SELL,20241029,32.93,500,5.20766773162939,TRAILING_STOP,20241028,31.3
300803,SELL,20241029,96.58,100,4.864277958740503,TRAILING_STOP,20241028,92.1
603106,SELL,20241029,11.8,1300,-9.923664122137396,STOP_LOSS,20241028,13.1
300339,SELL,20241029,64.6,200,3.0960740504308935,TRAILING_STOP,20241028,62.66
